name,name_zh,latitude,longitude,source
Jatinegara,干冬墟,-6.219962,106.871327,wikidata
Jatinegara,干冬墟,-7.071424,109.229948,wikidata
Jatiwangi,加提望伊,-6.740913,108.257463,naer
Jawai,假獅,1.387336,109.079624,wikidata
Jepara,加帕拉,-6.583286,110.663164,naer
Johar Baru,柔哈巴魯,-6.179504,106.855513,wikidata
Jombang,宗邦,-6.016210,106.056988,naer
Jombang,宗邦,-7.542373,112.225531,naer
Jombang,宗邦,-8.211113,113.371592,naer
Kaimana,開馬納,-3.826663,134.046382,naer
Kalibawang,卡利巴旺,-7.493204,109.929222,wikidata
Kalibawang,卡利巴旺,-7.693345,110.225509,wikidata
Kalideres,卡利德乐斯,-6.132757,106.702354,wikidata
Kaliwungu,卡利翁古,-6.787749,110.799005,naer
Kaliwungu,卡利翁古,-6.951095,110.256637,naer
Kaliwungu,卡利翁古,-7.464412,110.621678,naer
Kampar,坎帕,0.338715,101.103319,naer
Kapuas,卡普阿斯,0.063385,110.597051,wikidata
Karangasem,卡朗阿森,-8.449957,115.628234,osm
Karawaci,卡拉瓦芝,-6.181078,106.618573,wikidata
Karimunjawa,迷濛爪哇,-5.838188,110.415341,wikidata
Kartasura,卡爾塔蘇拉,-7.561549,110.749716,wikidata
Kebayoran Baru,新峇油兰,-6.245593,106.802247,wikidata
Kebayoran Lama,旧峇油兰,-6.246144,106.776849,wikidata
Kebumen,開布門,-7.687962,109.679387,naer
Kediri,諫義里,-8.580296,115.114916,naer
Kediri,諫義里,-8.650849,116.137595,naer
Kedungwuni,開東烏尼,-6.970385,109.651700,naer
Kelapa Gading,椰風新城,-6.168399,106.903607,wikidata
Kemayoran,馬腰蘭,-6.165354,106.854326,wikidata
Kembangan,肯邦安,-6.196635,106.738768,wikidata
Kendari,肯達里,-3.955721,122.597891,naer
Kendawangan,肯達萬干,-2.706636,110.250299,naer
Kertapati,科大帕蒂,-3.035080,104.744631,wikidata
Kintamani,金塔馬尼,-8.249662,115.327935,wikidata
Klungkung,克隆孔,-8.530655,115.401299,osm
Koba,高木,-2.491579,106.370506,wikidata
Kota Agung,哥打阿貢,-4.079452,103.418743,wikidata
Kota Agung,哥打阿貢,-5.492110,104.635319,wikidata
Kota Kudus,古突士,-6.802598,110.843301,wikidata
Kotabumi,科塔布米,-4.822766,104.881466,wikidata
Kotagede,哥打格德,-7.822128,110.396212,wikidata
Kotapinang,哥打槟榔,1.874800,100.043686,wikidata
Kramatjati,克拉玛查迪,-6.274112,106.870707,wikidata
Kuala Batee,瓜拉巴图,3.799351,96.775023,wikidata
Kuningan,库宁岸,-6.971576,108.497371,wikidata
Kuta,库塔,-8.763686,115.184357,wikidata
Kuta Blang,庫塔·布朗,5.213712,96.832140,wikidata
Lahat,拉哈特,-3.762106,103.541292,wikidata
Lawe Alas,阿拉斯河,3.418921,97.815148,wikidata
Laweyan,梭羅市拉維揚街,-7.565434,110.793392,wikidata
Lembang,倫邦,-3.446025,119.546630,wikidata
Lembang,倫邦,-6.818464,107.634314,wikidata
Lumajang,南海漳,-8.135915,113.238366,osm
Madiun,茉莉芬,-7.591164,111.568109,osm
Majalengka,瑪查冷卡,-6.834287,108.232595,wikidata
Makale,马卡勒,-3.102967,119.852518,wikidata
Makasar,馬卡薩,-6.265908,106.893247,wikidata
Makassar,錫江,-5.141237,119.424468,naer
Mampang Prapatan,芒邦帕拉巴丹,-6.248539,106.817149,wikidata
Mamuju,馬穆朱,-2.691414,118.896225,wikidata
Mandor,东万律,0.307597,109.428735,wikidata
Marau,馬樓,-2.170950,110.679724,wikidata
Martapura,馬塔普拉,-3.410420,114.854207,naer
Martapura,馬塔普拉,-4.312355,104.352758,naer
Mataram,馬塔藍,-8.598595,116.111671,naer
Matraman,玛德拉曼,-6.202704,106.862214,wikidata
Melak,默拉克,-0.255795,115.833879,wikidata
Meliau,美料,-0.197284,110.318797,wikidata
Mempawah Hilir,曼帕瓦鄉,0.402480,108.937106,wikidata
Mempura,曼普拉,0.754275,102.037077,wikidata
Menggala,明加拉,-4.523337,105.225489,wikidata
Mengwi,孟威區,-8.563330,115.168276,wikidata
Menteng,銘登,-6.191449,106.839388,wikidata
Mentok,門托克,-2.041365,105.170957,naer
Merauke,美勞克,-8.494245,140.442813,naer
Meureudu,苗流株区,5.228827,96.234220,wikidata
Moa,摩亞,-8.176567,127.901307,naer
Mojo,摩約,-7.903220,111.938950,naer
Monterado,打勞鹿,0.765516,109.139724,osm
Moti,莫蒂岛,0.439783,127.408515,wikidata
Muara Sipongi,慕哇拉希朋義,0.610619,99.872318,wikidata
Muntilan,文池蘭,-7.592399,110.263010,wikidata
Muting,木廷,-7.418800,140.497111,naer
Namlea,南列亞,-3.234144,127.042091,naer
Nanga Pinoh,彬路,-0.362517,111.771424,wikidata
Natal,納塔爾,0.640136,99.102247,naer
Negara,内加拉,-8.358387,114.582712,wikidata
Ngabang,芽橫,0.365108,109.892914,wikidata
Paal Merah,帕尔梅拉,-1.625927,103.649532,wikidata
Padalarang,帕達拉朗,-6.843506,107.487172,wikidata
Pademangan,巴德芒安,-6.134927,106.836765,wikidata
Pakualaman,帕库阿拉曼,-7.801038,110.377632,wikidata
Pal Merah,紅牌,-6.187350,106.803354,wikidata
Palabuhanratu,帕拉布汉拉图,-6.994332,106.584987,wikidata
Paloh,帕羅,1.717414,109.327406,naer
Pamekasan,巴米加三,-7.163420,113.471878,naer
