longitude,latitude,country,admin_1,admin_2,admin_3,admin_4
121.41667,23.33333,臺灣,臺東縣,長濱鄉,"",""
120.49083,23.95361,臺灣,彰化縣,溪湖鎮,"",""
120.55,22.7,臺灣,屏東縣,長治鄉,"",""
120.22236,23.09568,臺灣,臺南市,港口里,"",""
121.68987,25.11486,臺灣,基隆市,瑪陵坑,七堵區,瑪東里
120.49545,26.37004,臺灣,連江縣,東引鄉,"",""
119.92821,26.14954,臺灣,連江縣,南竿鄉,"",""
121.56336,25.03042,臺灣,臺北市,信義區,景新里,""
120.46456,23.498,臺灣,嘉義市,東區,新店里,""
120.33806,22.6533,臺灣,高雄市,鳥松區,大華里,""
120.67297,24.15472,臺灣,臺中市,北區,和龍里,""
120.79647,24.24017,臺灣,臺中市,新社區,大南里,""
121.76762,25.14223,臺灣,基隆市,中正區,建國里,""
121.69998,25.14847,臺灣,基隆市,大武崙,"",""
119.9898,26.23088,臺灣,連江縣,北竿鄉,"",""
119.93328,25.97518,臺灣,連江縣,莒光鄉,"",""
120.48912,26.36665,臺灣,連江縣,東引鄉,"",""
120.61795,24.14157,臺灣,臺中市,南屯區,春社里,""
118.3134,24.4129,臺灣,金門縣,金城鎮,"",""
118.42041,24.48812,臺灣,金門縣,金沙鎮,"",""
118.41707,24.44322,臺灣,金門縣,金湖鎮,"",""
118.32802,24.45714,臺灣,金門縣,金寧鄉,"",""
120.67881,23.9218,臺灣,南投縣,南投市,"",""
120.48,22.66484,臺灣,屏東縣,屏東市,柳町,""
120.66467,24.14392,臺灣,臺中市,西區,安龍里,""
120.66465,24.12118,臺灣,臺中市,南區,平和里,""
120.29201,22.68502,臺灣,高雄市,左營區,聖后里,""
120.72108,23.26342,臺灣,高雄市,那瑪夏區,達卡努瓦里,""
121.68365,25.10972,臺灣,基隆市,瑪陵坑,七堵區,瑪南里
120.68075,24.15878,臺灣,臺中市,北區,邱厝里,""
120.7362,24.1841,臺灣,臺中市,北屯區,大坑里,""
120.18993,22.95574,臺灣,臺南市,南區,建南里,""
120.68053,24.1418,臺灣,臺中市,中區,光復里,""
120.75237,22.92005,臺灣,高雄市,茂林區,多納里,""
120.69703,24.13743,臺灣,臺中市,東區,樂成里,""
121.75692,24.75032,臺灣,宜蘭縣,宜蘭市,"",""
118.25121,24.42739,臺灣,金門縣,烈嶼鄉,"",""
118.23595,24.44324,臺灣,金門縣,烈嶼鄉,"",""
118.25577,24.44416,臺灣,金門縣,烈嶼鄉,"",""
