longitude,latitude,country,admin_1,admin_2,admin_3,admin_4
120.71667,24.05,臺灣,臺中市,霧峰區,萊園里,""
121.8,24.68333,臺灣,宜蘭縣,五結鄉,"",""
120.46667,22.58333,臺灣,屏東縣,萬丹鄉,"",""
120.58333,22.58333,臺灣,屏東縣,萬巒鄉,"",""
121.63333,25.18333,臺灣,新北市,雙興里,"",""
121.31667,23.73333,臺灣,花蓮縣,萬榮鄉,"",""
120.65,24.33333,臺灣,臺中市,外埔區,大同里,""
120.53333,23.76667,臺灣,雲林縣,莿桐鄉,"",""
120.25,22.75,臺灣,高雄市,梓官區,赤崁里,""
120.25,23.7,臺灣,雲林縣,東勢鄉,"",""
120.18333,23.46667,臺灣,嘉義縣,東石鄉,"",""
120.83333,24.25028,臺灣,臺中市,東勢區,泰昌里,""
121.75,24.65,臺灣,宜蘭縣,冬山鄉,"",""
120.8,24.46667,臺灣,苗栗縣,銅鑼鄉,"",""
120.46667,22.46667,臺灣,屏東縣,東港鎮,"",""
120.7,24.48333,臺灣,苗栗縣,通霄鎮,"",""
121.25,22.98333,臺灣,臺東縣,東河鄉,"",""
120.35,23.7,臺灣,雲林縣,土庫鎮,"",""
121.43333,24.96667,臺灣,新北市,土城區,大安里,""
120.4,23.03333,臺灣,臺南市,澄山里,"",""
120.73333,23.98333,臺灣,南投縣,草屯鎮,"",""
120.86667,24.63333,臺灣,苗栗縣,造橋鄉,"",""
120.86667,24.56667,臺灣,苗栗縣,頭屋鄉,"",""
120.48333,23.68333,臺灣,雲林縣,斗南鎮,"",""
120.55028,23.71639,臺灣,雲林縣,斗六市,"",""
120.91667,24.68333,臺灣,苗栗縣,頭份市,"",""
121.85,24.9,臺灣,宜蘭縣,頭城鎮,"",""
120.51667,23.9,臺灣,彰化縣,田尾鄉,"",""
120.38333,22.86667,臺灣,高雄市,田寮區,南安里,""
120.58333,23.85,臺灣,彰化縣,田中鎮,"",""
121.2,25.06667,臺灣,桃園市,大園里,"",""
120.64778,24.22417,臺灣,臺中市,大雅區,大雅里,""
120.88333,22.4,臺灣,臺東縣,大武鄉,"",""
121.5,24.55,臺灣,宜蘭縣,大同鄉,"",""
120.54639,24.15139,臺灣,臺中市,大肚區,大肚里,""
120.36667,22.75,臺灣,高雄市,大社區,保社里,""
120.41667,23.65,臺灣,雲林縣,大埤鄉,"",""
121.24611,24.895,臺灣,桃園市,東勢里,"",""
120.83333,23.2,臺灣,高雄市,桃源區,復興里,""
120.70611,24.21611,臺灣,臺中市,潭子區,潭秀里,""
121.45,25.2,臺灣,新北市,淡水區,義山里,""
120.38333,23.15,臺灣,臺南市,頭社里,"",""
120.48333,23.6,臺灣,嘉義縣,大林鎮,"",""
120.68583,24.09833,臺灣,臺中市,大里區,大元里,""
120.4,22.58333,臺灣,高雄市,大寮區,內坑里,""
120.68333,22.6,臺灣,屏東縣,泰武鄉,"",""
121.04833,22.88361,臺灣,臺東縣,延平鄉,"",""
121.41667,25.05,臺灣,新北市,貴子坑,泰山區,同榮里
120.76667,24.11667,臺灣,臺中市,太平區,東汴里,""
121.55331,25.083,臺灣,臺北市,中山區,成功里,""
120.33333,23.48333,臺灣,嘉義縣,太保市,"",""
120.18876,23.00002,臺灣,臺南市,中西區,西和里,""
120.2,23.71667,臺灣,雲林縣,臺西鄉,"",""
120.66145,24.15926,臺灣,臺中市,西區,忠誠里,""
121.06667,24.41667,臺灣,苗栗縣,泰安鄉,"",""
120.85,24.4,臺灣,苗栗縣,大湖鄉,"",""
121.28333,24.86667,臺灣,桃園市,一德里,"",""
120.62833,24.36194,臺灣,臺中市,大甲區,德化里,""
120.58333,24.36667,臺灣,臺中市,大安區,龜壳里,""
121.53333,25.03333,臺灣,臺北市,大安區,龍門里,""
121.55,25.05,臺灣,臺北市,松山區,美仁里,""
121.85331,24.59162,臺灣,宜蘭縣,蘇澳鎮,"",""
120.2,23.65,臺灣,雲林縣,四湖鄉,"",""
121.4,24.98333,臺灣,新北市,山佳,樹林區,東山里
120.41667,23.43333,臺灣,嘉義縣,水上鄉,"",""
120.23333,23.56667,臺灣,雲林縣,水林鄉,"",""
120.85,23.81667,臺灣,南投縣,水里鄉,"",""
121.81667,25,臺灣,新北市,"",雙溪區,外柑里
121.51667,23.83333,臺灣,花蓮縣,壽豐鄉,"",""
120.75,22.23333,臺灣,屏東縣,獅子鄉,"",""
121.63333,24.95,臺灣,新北市,石碇區,格頭里,""
120.91667,24.53333,臺灣,苗栗縣,獅潭鄉,"",""
121.56667,25.26667,臺灣,新北市,尖鹿村,石門區,石門里
120.78333,24.26667,臺灣,臺中市,石岡區,龍興里,""
120.6,23.91667,臺灣,彰化縣,社頭鄉,"",""
121.61667,25,臺灣,新北市,深坑區,深坑里,""
120.66667,24.26667,臺灣,臺中市,神岡區,圳前里,""
120.49,24.17194,臺灣,彰化縣,伸港鄉,"",""
120.36667,23.1,臺灣,臺南市,新莊里,"",""
120.55,23,臺灣,高雄市,杉林區,杉林里,""
120.28333,23.15,臺灣,臺南市,溪美里,"",""
120.56028,24.23722,臺灣,臺中市,沙鹿區,沙鹿里,""
