longitude,latitude,admin_1,admin_2,admin_3,admin_4,country
120.78898440803046,23.94220197033894,南投縣,中寮鄉,內城村,"",臺灣
120.76285218915926,23.905999915810117,南投縣,中寮鄉,廣福村,"",臺灣
120.7545468170744,23.886530455813645,南投縣,中寮鄉,中寮村,"",臺灣
120.78150796550317,23.903216793424736,南投縣,中寮鄉,復興村,"",臺灣
120.77693542808449,23.885388034255772,南投縣,中寮鄉,永平村,"",臺灣
120.79553010013188,23.87419525751958,南投縣,中寮鄉,八仙村,"",臺灣
120.76747347414857,23.927869716816478,南投縣,中寮鄉,爽文村,"",臺灣
120.81352524728203,23.950222825292027,南投縣,中寮鄉,清水村,"",臺灣
120.76556383696361,23.86220959818394,南投縣,中寮鄉,崁頂村,"",臺灣
120.74101774769127,23.88563408702392,南投縣,中寮鄉,永福村,"",臺灣
120.7229106203275,23.89953141850493,南投縣,中寮鄉,義和村,"",臺灣
120.73124953877961,23.918308977737702,南投縣,中寮鄉,永和村,"",臺灣
120.80005752773098,23.86075079322396,南投縣,中寮鄉,廣興村,"",臺灣
120.74654050432069,23.937513040284202,南投縣,中寮鄉,永芳村,"",臺灣
120.8207465053446,23.915108693938443,南投縣,中寮鄉,和興村,"",臺灣
120.82683866549192,23.883369192979334,南投縣,中寮鄉,福盛村,"",臺灣
120.7585866239344,23.949143215316028,南投縣,中寮鄉,龍岩村,"",臺灣
120.77437173316805,23.94434752274279,南投縣,中寮鄉,龍安村,"",臺灣
121.15970482422318,24.011884255180153,南投縣,仁愛鄉,春陽村,"",臺灣
121.2426580792989,24.054976249536086,南投縣,仁愛鄉,都達村,"",臺灣
121.25835644672624,24.09796747358225,南投縣,仁愛鄉,德鹿谷村,"",臺灣
121.18702309652878,23.925010423452648,南投縣,仁愛鄉,親愛村,"",臺灣
121.30154113744237,24.210787798524613,南投縣,仁愛鄉,榮興村,"",臺灣
120.96915617916383,24.0727813977397,南投縣,仁愛鄉,互助村,"",臺灣
121.23409167940025,24.20193388825221,南投縣,仁愛鄉,翠華村,"",臺灣
121.22907750766659,24.15573445406039,南投縣,仁愛鄉,力行村,"",臺灣
121.15803631694463,24.163404878887164,南投縣,仁愛鄉,發祥村,"",臺灣
121.0799945190498,24.02088173228879,南投縣,仁愛鄉,南豐村,"",臺灣
121.2200727910781,24.01848747983446,南投縣,仁愛鄉,精英村,"",臺灣
121.01258393392237,23.87932070149299,南投縣,仁愛鄉,中正村,"",臺灣
121.07381940117622,23.923106072047172,南投縣,仁愛鄉,萬豐村,"",臺灣
121.0599157854704,24.09473104499062,南投縣,仁愛鄉,新生村,"",臺灣
121.17465130392007,24.073800562664818,南投縣,仁愛鄉,大同村,"",臺灣
121.07409347769448,23.861390177829744,南投縣,仁愛鄉,法治村,"",臺灣
120.95471566062324,23.63013264312115,南投縣,信義鄉,豐丘村,"",臺灣
120.89692455138488,23.538927529524543,南投縣,信義鄉,同富村,"",臺灣
120.85173551120774,23.518466185610553,南投縣,信義鄉,神木村,"",臺灣
120.82849982342363,23.68490981538687,南投縣,信義鄉,愛國村,"",臺灣
120.95023041821763,23.824112650738417,南投縣,信義鄉,潭南村,"",臺灣
